suite	backend	attempted	passed	failed	pass_pct	total_ms	mean_ms	min_ms	max_ms
plean	auto	192	168	24	87.5	715812.2	3728.2	0.0	66114.0
plean	crush	192	174	18	90.6	457858.6	2384.7	0.0	169370.4
