suite	backend	ref	commit	toolchain	solver	timeout	duper_timeout	vc_max_heartbeats	crush_trust	crush_commit	duper_commit	crush_dirty	worktree
loom	duper	616f9cd8db660dcd74a1c92b0d19bb50420e1c59	616f9cd8db660dcd74a1c92b0d19bb50420e1c59	leanprover/lean4:v4.32.2	cvc5	5	5	1000000	reconstruct	-	ca7c5862bee2e62e019e6a1b70ce95612b6b6365	false	/tmp/lean-crush-duper-loom
cashmere	duper	616f9cd8db660dcd74a1c92b0d19bb50420e1c59	616f9cd8db660dcd74a1c92b0d19bb50420e1c59	leanprover/lean4:v4.32.2	cvc5	5	5	1000000	reconstruct	-	ca7c5862bee2e62e019e6a1b70ce95612b6b6365	false	/tmp/lean-crush-duper-loom
velvet	duper	5a1180338958908323a921255a8d158cf1f26c95	5a1180338958908323a921255a8d158cf1f26c95	leanprover/lean4:v4.32.2	cvc5	5	5	1000000	reconstruct	-	ca7c5862bee2e62e019e6a1b70ce95612b6b6365	false	/tmp/lean-crush-duper-velvet
