suite	backend	attempted	passed	failed	pass_pct	total_ms	mean_ms	min_ms	max_ms	successful_mean_ms
cashmere	duper	38	21	17	55.3	46526.0	1224.4	1.0	12280.0	669.9
velvet	duper	483	273	210	56.5	2315048.0	4793.1	0.0	270961.0	701.0
loom	duper	4	1	3	25.0	492.0	123.0	39.0	173.0	39.0
