suite	lane	phase	events	total_ms	mean_ms	min_ms	max_ms	phase_pct
velvet	crush-portfolio	pre-reconstruct	280	11543.983	41.229	0.085	5832.363	3.7
velvet	crush-portfolio	reconstruct	213	112421.166	527.799	0.662	13501.165	36.0
velvet	crush-portfolio	replay	239	27232.450	113.943	0.013	7163.220	8.7
velvet	crush-portfolio	solve	262	125926.669	480.636	28.571	5057.035	40.4
velvet	crush-portfolio	solve-fallback	5	20320.269	4064.054	214.623	5028.581	6.5
velvet	crush-portfolio	translate	262	2886.734	11.018	0.650	130.849	0.9
velvet	crush-portfolio	translate-fallback	5	151.051	30.210	1.802	45.273	0.0
velvet	crush-verify	collect	368	143.083	0.389	0.051	24.950	0.1
velvet	crush-verify	instantiate	327	13252.125	40.526	0.026	1749.575	6.5
velvet	crush-verify	monomorphize	327	2362.869	7.226	0.010	72.057	1.2
velvet	crush-verify	normalize	327	653.039	1.997	0.038	6.784	0.3
velvet	crush-verify	pre-reconstruct	334	11168.281	33.438	0.081	5454.522	5.5
velvet	crush-verify	solve	327	151924.524	464.601	27.314	5056.148	74.4
velvet	crush-verify	solve-fallback	5	20360.937	4072.187	236.280	5035.463	10.0
velvet	crush-verify	translate	327	4133.812	12.642	0.680	151.157	2.0
velvet	crush-verify	translate-fallback	5	155.497	31.099	2.241	46.004	0.1
