profile	attempted	passed	failed	pass_pct	total_ms	mean_ms	min_ms	max_ms
duper-only	20	12	8	60.0	19108.0	955.4	53.0	14782.0
auto-duper	20	8	12	40.0	3458.0	172.9	3.0	1337.0
