suite	lane	vcs	samples	min_commands	max_commands	min_replay_ms	mean_replay_ms	max_replay_ms	commands_pearson_r	commands_r_squared	ms_per_100_commands	bytes_pearson_r	bytes_r_squared	ms_per_kib
leanhammer	crush-alethe	13	13	3	231	5.986	589.222	4731.513	0.8610	0.7413	1534.658200	0.8177	0.6686	194.475884
leanhammer	crush-portfolio	7	7	3	231	3.986	574.217	2794.578	0.8598	0.7393	939.112028	0.8121	0.6595	118.123390
